iea_sector,Emissions_2021,STEPS_Emissions_2030,STEPS_Emissions_2050,STEPS_CAAGR_2030,STEPS_CAAGR_2050,STEPS_scaling_2030,STEPS_scaling_2050
Utilities,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Oil,10850,11411.5,11094.2,0.005622027,0.00076779,1.051751152,1.022506912
Gas,7519.99,7773.69,7628.53,0.003693487,0.000494272,1.033736747,1.01443353
Oil and gas,18369.99,19185.19,18722.73,0.004836131,0.000656075,1.044376725,1.01920197
Coal,15106.4,13695,9863.04,-0.010839458,-0.0145933,0.906569401,0.652904729
Industry,5856.06,6321.96,6322.9,0.008542084,0.002648361,1.079558611,1.079719129
Iron and steel,2473.21,2629.67,2359.09,0.006838998,-0.001627672,1.063261915,0.953857537
Chemicals,986.27,1084.87,987.45,0.010643498,4.12E-05,1.099972624,1.001196427
Trucking transport,1791.14,2069.79,2435.04,0.01619585,0.010646304,1.155571312,1.35949172
Aviation transport,713.08,1259.49,1675.45,0.065247978,0.02989481,1.766267459,2.349596118
Shipping transport,837.62,904.98,1144.94,0.008631293,0.010835629,1.080418328,1.366896683
Other transport,4327.81,4237.5,3444.23,-0.002340387,-0.007843604,0.979132633,0.795836693
Services buildings,979.44,933.73,878.33,-0.005296332,-0.003750144,0.953330475,0.896767541
Miscellaneous,20468.3,21627,21056.1,0.006137109,0.000976786,1.056609489,1.028717578
