"assetid","estimated_scope_2_emissions"
183,11022.3017578125
187,34863.38671875
189,34311.1484375
191,1590000
196,127867.265625
199,308014.951327008
200,108265.202147099
201,736127
206,307640.207102312
208,504149.599287622
209,331000
214,11205.71484375
217,67506.859375
222,12360.732421875
223,3399.0029296875
225,612057.130385311
226,758260.4375
229,156753
232,2539881
233,374609.872502706
234,10175.0358009997
235,667170.0625
236,1530710
237,71052.3828125
239,3399.0029296875
248,103637
249,251441.546875
250,34471.54296875
252,44785
254,11249.86328125
256,196160
257,154113.296875
259,10380.72265625
263,60871.421875
264,115027.8359375
265,206353.325213821
268,19863.9074202841
270,55160.9989646429
272,131183.3125
273,93363.046875
275,33925.5703125
277,636390
279,55116.8169662754
281,110552.3671875
282,2526280.36711365
283,732945
286,28024.2468694518
287,37730
291,116830.2265625
294,1341210
297,18501.3465924518
300,29952
306,NULL
309,792771
312,103820.0546875
313,3399.0029296875
315,47022.7177334732
318,36576
319,83672.3273873656
320,462000
321,263158.625
325,106654.15625
327,13094.26953125
329,6700
330,12293383.8650145
331,9240924.59173064
332,2979
335,109948.890625
338,1907664
339,12932.951171875
341,499
342,910791
345,219220
346,1833
348,172100
349,1497.818359375
355,35733
356,66828.3359375
358,348000
366,4400000
370,663627.375
372,9723
376,17394.388671875
379,10418.3564453125
382,584637.25
385,3855.4873046875
390,11220
394,588920.5625
400,17879.4375
402,414265.96875
403,4548
404,9920.61328125
406,1270000
408,25162.66796875
411,241150
412,95282.453125
414,144632
423,203142.3125
424,7939956.5
427,70851.4765625
430,11767
431,14135.37109375
432,3399.0029296875
435,4070000
437,601907
441,35377.71875
443,443338.71875
444,2190890
445,388749
448,41795
449,318776
457,13815
459,494760
460,62233.29296875
463,101658
466,79448.234375
468,156000
470,253563.453125
471,45573.84375
472,40699.155971308
473,43119.9350148792
473,68822.1015625
476,349458
479,135045.8125
485,70000
495,3647138
496,14426.1884765625
497,3930000
498,5740000
500,859813.5
501,3348420.75
502,119194.9609375
503,493719.28125
504,69739.296875
505,532914.5
506,69240.0234375
507,24547.62890625
508,676052.1875
512,131.764
513,11586
515,101615
516,13910.4360440952
517,142681.6
520,1289890
522,9162.2412109375
524,12997.8955078125
526,431203.59375
528,43346.671875
533,934569.07610066
539,14503.765625
541,137831.763417306
545,185416
549,648621.0625
554,13762.666015625
557,41531
558,149381.63
560,17607.8463563147
562,55360.1621975083
565,898017.0625
567,2300000
573,68164.3984375
577,20706.53125
579,7100
581,672859.5625
582,15450.4638671875
583,1098283.95372233
586,41099.203125
590,14962.3837890625
591,3406
595,56468.80078125
605,3427.87060546875
606,4617160.23893878
607,918572
608,3949.76733398438
615,30973.6875
616,143037.78125
618,221663
619,78604.6640625
620,76764.5234375
622,29527.33203125
624,21809
627,24666.5
628,138830.79533505
629,162382.662890343
630,11338
633,154334.104024883
635,182356
637,721884.010061085
641,16583.59765625
642,59320
645,1546.85864257812
646,207005
649,1619280.75
652,5615681.86042599
654,3514.56372070312
656,2131.65160549204
658,329.731597900391
662,130277.174122538
664,94259.1596953674
669,49920.6971057449
671,6467.6669921875
673,3163133.6754223
674,3031.02
679,333557
681,35145.13671875
686,12197.0869140625
688,10554.7826086957
689,290000
690,23213.126953125
691,93132.5859375
694,141983.234375
696,46200
700,3175.62548828125
702,216778.707336936
704,6182
705,97340.6015625
706,124360.2421875
707,457590.59375
708,38496.375
710,69794.4140625
713,13815
718,17023.8759361451
720,1276522.75890796
721,9621
722,34514.625
723,25831
724,135188.203125
725,1044.1508570797
728,7661.9
730,43214.38671875
731,304994.272162175
732,42736.0391137856
733,672257.110893032
735,29941.23828125
740,205202.078125
744,86699.0859375
745,20857.72265625
746,636759.75
747,6868822.5
748,100256.1328125
749,7674.7646484375
750,182728
754,4857.04697005147
756,1420783.06669575
757,236948.640625
758,3551432.9749616
761,420195.12409787
763,1723597.43802633
765,1981246.625
766,95395
770,20328.857421875
775,25488.60546875
776,40522.4921875
780,22113.216796875
782,340885.365667672
783,147171.625
784,111145.2265625
785,561977.0625
786,94681.390625
787,116686.5625
789,28218.8828125
790,1499909.88904953
791,490645.9375
792,62941.03515625
793,117308.8203125
795,918976.375
796,6493.52197265625
797,87712.28125
798,248515.890625
799,6397.90478515625
800,2817375
801,109992.578125
802,17192.826171875
803,40528.921875
805,46055.8671875
806,4564.31591796875
807,117512.015625
808,96077.6328125
809,1231626.94885698
810,69875.3907669938
815,5282
818,43529.42578125
820,5204
821,1419.42297363281
826,70717.8125
828,131875
830,110231.5546875
831,9220.43359375
837,477517.8125
838,880859
839,78223.8125
840,5000000
844,82397.1015625
845,20503.148087252
848,104284.519877932
849,293120.333178139
852,8757.5107421875
853,25289.2915683498
855,10473.23046875
857,38983.8492597577
859,207129.5
863,2703.00073242188
864,34693
865,84690.015625
872,3007.24609375
873,1211
874,13896.4111328125
879,42257.7109375
883,57734.453125
