"assetid","estimated_scope_3_emissions"
183,154840.953125
187,160825.859375
189,87122520
191,11910000
196,20507576
199,19204984.6865105
200,1475393.13918075
201,367784.34375
206,6059819.64215037
208,9120058
209,9064010
210,1203555
217,1726605
222,4995.0166015625
223,17911.42578125
225,1691935.08571291
226,81137.8203125
229,2432282
232,5051504.5
233,360470.008852761
234,1876501.81480412
236,12060982
239,75908.9140625
248,2637182
249,3472507.25
250,87111408
252,38554644
256,348341
257,7312383.5
259,303069.28125
263,404499.59375
264,4050885.5
265,3015087.75
268,10692948
270,472331.682728177
272,262465
273,4126198.5
277,364001.625
279,6805708.40751746
281,951092.875
282,24328333.4789377
286,6287784.5
287,1683408
291,4390778
294,NULL
297,1763994.125
300,1372727
306,7377792.5
309,29550231
312,8534190
313,65377.8046875
315,3933800.5
318,79369
319,35021.3229820792
320,25300000
321,1473701.34021127
325,282952.5
327,386140.5
329,181673.65625
330,19103069.8937893
331,8474910.70719898
338,12769606
339,119334.484375
341,258626
342,11787705
345,175530
346,27568.900390625
348,14500000
351,790017
355,2371236
356,5220348
358,1502095.875
366,47500000
370,12805634
376,392227.6875
382,6535213
385,2322665
390,147212
394,17523950
400,92028.9140625
402,853454
406,41333072
408,100070.5234375
411,1995577
412,122982.59375
414,33429335
423,48806256
427,12405112
430,366
431,273917.4375
432,23541.451171875
435,55360000
437,1938531
441,279850.84375
443,13783950.8225527
444,2645826
445,1226211.625
448,3713000
449,35589477
459,3647198
460,7176829
463,45013
466,12151464
468,3064000
470,421648.65625
471,27660.205078125
472,1603.07861169535
473,1998024.75
476,4361655.5
479,1410537.5
485,1772000
495,13238940
496,170613.984375
497,1910362.25
502,170988.71875
503,13731290
504,587979.375
505,622234
506,170759.28125
507,113046.5546875
508,657026.3125
512,729580.625
513,97922
515,3524331.25
516,69873.828125
517,6867226.5
520,151424.71875
522,251248.859375
524,318348.3125
526,53977780
528,6675208.5
533,47400938.2119356
541,9145.23548740416
545,436976
557,30297680
558,13668278
560,22440.2032159431
562,32843609.8435902
564,8100000
567,66800000
577,1805288.25
579,14700
582,2322665
583,11146138.3299799
586,36993.03125
590,592995.625
591,24587
605,2477213.75
606,11971493.5151789
607,10163221
608,2477213.75
615,192665.453125
618,419501
619,341025.78125
620,98078.578125
622,573852.69268001
624,1466165
627,194334.640625
628,4579637.5
629,9756898.19941976
630,18
633,291400.9375
635,838423.6875
637,727598.131512756
641,1092130.625
642,194414
645,63601.56640625
646,6581749
649,26710.1831641841
652,4497628.36502238
656,4849.96657732072
662,1891991.18766381
664,123033.00844448
669,84441.5876558277
671,94039.9609375
673,1600213.15900269
674,16496.63
679,83516
686,189913.3125
688,129349.895652174
689,10266598
690,84920.921875
691,2194073.75
696,5201
700,991542.1875
704,361024
705,761259.75
706,246827.515625
707,779393.6875
710,925516.9375
716,242993.796875
718,22965.8827355144
720,2835798.25
722,439465.1875
723,29323808
724,652000
725,54227.0323340103
728,99040.203125
730,17.4483261108398
731,2267811.72254952
732,323972.84375
733,10250018.6378803
735,6754027.5
740,7492.70751953125
744,72793.7109375
745,1848919.625
746,5823913
747,255515.625
748,957306.5625
749,302803.0625
754,3235327.55722099
756,4130568.75
757,1891800.75
758,96535173.6614637
761,3988257.87713431
763,8726327.60052188
765,121705368
773,11942
775,21836626
776,509116.65625
782,1346597.98563575
783,953550.6875
784,1148014.625
785,1041703
786,NULL
789,1602.8349609375
790,4747881.5
791,21010610
792,2152826.75
796,1057137.875
797,3301835.5
798,163878.046875
799,8503.3466796875
800,2601743.25
801,936694.25
802,151472.421875
803,135598.953125
804,16.3
805,10026.87109375
806,360865.03125
807,6603050.5
808,12749156
809,36475.3912238089
810,642178.662304617
815,3879
818,637127.0625
820,442701
821,151901.734375
827,2086705.5
828,22899369
830,80194.9453125
831,33363.1640625
837,30380558
838,1612399.375
839,3301940.75
840,402500000
844,841832.5
845,56488.16015625
848,449913.214330505
849,259467.9375
852,231815.796875
853,238782.020685858
855,75.254524230957
857,299959.062359803
859,NULL
861,13433
863,82047.34375
864,4338115.5
865,NULL
872,1862.32177734375
873,NULL
879,NULL
883,427843.0625
884,12700000
890,12126.037109375
893,1027156.3125
894,NULL
899,2119000
902,11247446
906,168555.109375
908,276995.15625
911,487197.5625
912,20263210.3161091
914,365736608
917,582542.125
918,1014534
924,317360.40625
925,113421000
927,1575388.5
934,3162909.25
946,372084.4375
948,2752567.308
951,155897.359375
953,810850.5
955,3454525
965,62126.2421875
967,90873739.6798606
968,8486856
969,810951.3125
970,492480.093208392
978,24204092
980,16565360
981,22897.375
982,119439.9375
983,6.81401432542551
989,351226.78125
990,1001997.1875
996,26966876
998,20547078
999,117435.578125
1001,145618
1003,237.80042580364
1005,186941920
1010,2030838.625
1014,41260996
1019,291804352
1020,9217744
1022,5815692.5
1022,6255790
1024,2310132.71477413
1025,113416392
1027,1684569.33178834
1028,3939240
1029,685272
1030,6766440.62409544
1031,409949.434815275
1033,134039.256
1034,25708499
1035,156881.4375
1037,4500
1038,13553.232421875
1042,11249.7210287524
1044,310266.1875
1048,6139000
1050,2347506.75
1051,1026222.4375
1055,26428162
1056,334193.384154642
1059,13018.064453125
1063,1065031.49
1068,2762826.5
1069,27548567.2656629
1070,384185.8
1072,10715978
1076,9138368
1078,122720072
1080,13575.0986328125
1081,931751.9375
1082,253114.303129428
1091,608816.327924682
1094,69210.6484375
1096,266689.84375
1101,4141774.79561652
1102,61718.484375
1103,10721180.5797901
1104,108070.530435636
1105,125729168.659061
1109,24918005.3452074
1115,1365560.93426964
1117,298682.9375
1118,1186402.875
1122,22515136
1125,2664678.96214917
1125,548864.125
1130,78459.8046875
1132,17397434.68941
1133,70206704
1136,226122.313680503
1137,3408
1142,237826.984375
1144,266743.84375
1145,10258.76171875
1146,760759.5
1148,347567.765543681
1152,224966
1153,6988.98095703125
1161,496435.21875
1162,60488.859375
1165,380946.71875
1166,1245625.875
1167,7934469.5
1170,8448.3359375
1171,14321.9482421875
1172,4015793.5
1173,NULL
1175,14559814
1176,560813316.541852
1178,384112064
1182,3125650.42550792
1183,270653.40625
1186,158649.03125
1187,583153.75
1188,1736.53625488281
1189,442974.59375
1190,105071048
1191,7182441.5
1192,3042280.75
1193,5665282.5
1194,5908975.5
1195,309594.28125
1197,154847.6875
1198,781.282531738281
1199,149597.88
1200,2900096.75
1203,578336.1875
1204,4943758.5
1205,614909.25
1206,2070776.75
1210,5527708.5
1213,6541109
1214,5386276
1215,1364796.375
1216,NULL
1217,5741393
1218,517927.639634269
1220,14923972
1221,216119.296875
1222,96621696
1224,509570.53125
1226,1053896.125
1227,4534672
1228,502997.28125
1229,142856.296875
1230,236320240
1231,7182441.5
1234,265483.90625
1235,9337564
1236,20221780
1237,389326.78125
1238,105936832
1239,24822
1240,1535671.125
1241,NULL
1242,3492.35327148438
1244,11227559.698765
1245,618039.125
1246,1252.22900390625
1247,311510.21875
1248,2255915.75
1249,10077124
1250,40133596
1251,962241.9375
1253,3673588.5
1254,3492.35327148438
1255,377436.375
1261,191225.375
1262,2633395.75
1263,1781579.75
1264,801070.3125
1265,454952.5625
1266,6758591
1267,125413.5
1268,2988044.75
1269,48378
1270,617599.797024329
1275,52734328
1276,1217310.7232171
1277,2477213.75
1278,94149.5859375
1280,621818.4375
1282,247546.529813775
1283,211662
1285,9280380.25
1295,2822
1298,2700826.75
1302,21066650
1303,263265.25
1309,75
1311,17383460
1314,44021.4453125
1315,5612527.5
1317,528445.3125
1319,115943
1321,214745.203125
1322,151131.328125
1327,4069866.34264885
1334,3042372.92669813
1335,449626.90625
1337,34676
1339,43170544
1341,17091000
1342,94583128
1344,369039.59375
1346,414503.75
1348,3483770
1350,108220224
1354,68370
1356,112.887740204396
1362,3121792.57024752
1363,10997900
1364,2152345
1365,2010358
1366,186
1369,11561884
1372,273834.34375
1373,1190951
1376,23355.2078117857
1379,1386242
1380,43006258.3317403
1383,130900
1384,4151720.75
1389,397012.987988023
1394,54120.76953125
1402,34371.0546875
1406,17280279.3585101
1407,161067783.316291
1410,21005.971321814
1411,1362466.875
1413,50891156.0480708
1418,360071.788875886
1420,350781.125
1424,483255.28125
1426,2349
1428,124913.75
1432,32652004
1433,5010190
1435,6906162
1444,21889.66015625
1448,152700000
1451,20752992
1452,31400000
1459,95651.203125
1460,555036
1464,105242830.794775
1468,79075576
1477,2322665
1478,64102.7109375
1486,22109.1889774634
1490,1459783.875
1493,371688.4375
1496,49686353.3567386
1503,1273432.75
1506,48713.34765625
1507,7159453
1512,83899.75
1519,5387.14327285428
1521,175209.96875
1522,1057859.75
1523,278147.8125
1530,222820.453125
1531,27326188
1533,1189539.75
1535,1202153.5
1538,1004923.76682386
1541,1150964.25
1543,47227.90234375
1545,243.216873168945
1547,2111369.5
1548,380270.71875
1549,7197679
1551,364910.25
1552,2547588.4769332
1555,233883.5
1559,757353200
1562,54253552
1563,898829.6875
1565,11146296.8122848
1567,7141
1581,1122248.25
1582,1365.22544642968
1583,265644.3125
1585,3262053
1586,4257446
1587,816856.125
1588,339627.21875
1591,4263000
1592,1121000
1593,2649269.25
1594,436629
1596,1343186.25
1597,2649269.25
1598,753511
1600,282942540
1604,81504934.2647416
1605,765482.0625
1606,389769
1607,3285186
1608,2607432.25
1609,10649000
1616,7169938.5
1617,1975695.375
1620,24170301.5144192
1622,2171033.25
1623,351456.581587413
1625,515720.90625
1626,651930.424070479
1630,17221356
1631,2072.41381835938
1634,171493.9375
1635,40244700
1636,1071921.625
1638,1303046
1642,128906
1652,7514427.51802933
1657,651063.15
1660,7044.712890625
1661,264043.65625
1663,108307.1796875
1667,436746752
1668,2609707
1669,18008000
1670,419868.65625
1671,22068.5272474714
1674,94396.1484375
1677,2605452.01498555
1678,37610000
1678,6696572
1679,15346685.8650087
1680,47376506.0240964
1682,306838.40625
1683,347376.09375
1686,9116.9091796875
1689,173951.484375
1691,186850400
1696,43741340
1697,2322665
1699,173947.421875
1700,5517322
1701,173675
1702,830980.3125
1705,251354.234375
1706,737.893676805447
1707,169718.515625
1716,339035.6875
