iea_sector,Emissions_2021,APS_Emissions_2030,APS_Emissions_2050,APS_CAAGR_2030,APS_CAAGR_2050,APS_scaling_2030,APS_scaling_2050
Utilities,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Oil,10850,10092.6,5077.77,-0.008008052,-0.025842723,0.930193548,0.467997235
Gas,7519.99,6679.86,3758.47,-0.013076832,-0.023631903,0.888280437,0.499797207
Oil and gas,18369.99,16772.46,8836.24,-0.010057977,-0.024920668,0.913035881,0.48101496
Coal,15106.4,11881.3,2973.15,-0.026330777,-0.054509656,0.786507705,0.196813933
Industry,5856.06,5372.98,2595.21,-0.009520428,-0.027672308,0.917507676,0.443166566
Iron and steel,2473.21,2249.41,968.61,-0.010483433,-0.031807635,0.909510313,0.391640823
Chemicals,986.27,946.9,382.21,-0.004516067,-0.032159787,0.960081925,0.387530798
Trucking transport,1791.14,1909.47,1137.45,0.007133482,-0.015535419,1.066064071,0.635042487
Aviation transport,713.08,1196.89,1073.76,0.059230957,0.014214848,1.678479273,1.5058058
Shipping transport,837.62,778.33,361.89,-0.008123925,-0.028524051,0.929216112,0.432045558
Other transport,4327.81,3731.38,1451.66,-0.016340959,-0.036966785,0.862186649,0.335426001
Services buildings,979.44,708.25,281.77,-0.035379411,-0.042051939,0.723117292,0.287684799
Miscellaneous,20468.3,18784.8,9123.89,-0.009491262,-0.027476868,0.917750864,0.445757098
